versions,an_type,cm_type,proportion,count,color
CS1,identical,refactored,0.029649595687331536,22,#48D373
CS1,identical,argument,0.02830188679245283,21,#48D373
CS1,identical,body,0.444743935309973,330,#48D373
CS1,identical,deleted,0.12398921832884097,92,#EA0D30
CS1,refactored,refactored,0.0026954177897574125,2,#FCC168
CS1,refactored,argument,0.0,0,#FCC168
CS1,refactored,body,0.014824797843665768,11,#FCC168
CS1,refactored,deleted,0.0,0,#EA0D30
CS1,argument,refactored,0.0,0,#FCC168
CS1,argument,argument,0.0026954177897574125,2,#EA0D30
CS1,argument,body,0.013477088948787063,10,#FCC168
CS1,argument,deleted,0.0,0,#EA0D30
CS1,body,refactored,0.004043126684636119,3,#FCC168
CS1,body,argument,0.005390835579514825,4,#FCC168
CS1,body,body,0.25202156334231807,187,#FCC168
CS1,body,deleted,0.006738544474393531,5,#EA0D30
CS1,deleted,refactored,0.004043126684636119,3,#EA0D30
CS1,deleted,argument,0.0,0,#EA0D30
CS1,deleted,body,0.0673854447439353,50,#EA0D30
CS1,deleted,deleted,0.0,0,#48D373
CS2,identical,refactored,0.03968253968253968,55,#48D373
CS2,identical,argument,0.03318903318903319,46,#48D373
CS2,identical,body,0.4574314574314574,634,#48D373
CS2,identical,deleted,0.11038961038961038,153,#EA0D30
CS2,refactored,refactored,0.001443001443001443,2,#FCC168
CS2,refactored,argument,0.0,0,#FCC168
CS2,refactored,body,0.007215007215007215,10,#FCC168
CS2,refactored,deleted,0.0007215007215007215,1,#EA0D30
CS2,argument,refactored,0.0021645021645021645,3,#FCC168
CS2,argument,argument,0.002886002886002886,4,#EA0D30
CS2,argument,body,0.007215007215007215,10,#FCC168
CS2,argument,deleted,0.0007215007215007215,1,#EA0D30
CS2,body,refactored,0.00937950937950938,13,#FCC168
CS2,body,argument,0.002886002886002886,4,#FCC168
CS2,body,body,0.12337662337662338,171,#FCC168
CS2,body,deleted,0.0021645021645021645,3,#EA0D30
CS2,deleted,refactored,0.001443001443001443,2,#EA0D30
CS2,deleted,argument,0.011544011544011544,16,#EA0D30
CS2,deleted,body,0.18614718614718614,258,#EA0D30
CS2,deleted,deleted,0.0,0,#48D373
CS3,identical,refactored,0.02247567930224757,67,#48D373
CS3,identical,argument,0.0278430057027843,83,#48D373
CS3,identical,body,0.3891311640389131,1160,#48D373
CS3,identical,deleted,0.029184837302918484,87,#EA0D30
CS3,refactored,refactored,0.005367326400536733,16,#FCC168
CS3,refactored,argument,0.0016772895001677288,5,#FCC168
CS3,refactored,body,0.020127474002012747,60,#FCC168
CS3,refactored,deleted,0.0013418316001341832,4,#EA0D30
CS3,argument,refactored,0.0026836632002683663,8,#FCC168
CS3,argument,argument,0.014089231801408923,42,#EA0D30
CS3,argument,body,0.01777926870177793,53,#FCC168
CS3,argument,deleted,0.0026836632002683663,8,#EA0D30
CS3,body,refactored,0.01744381080174438,52,#FCC168
CS3,body,argument,0.009728279100972828,29,#FCC168
CS3,body,body,0.2723918148272392,812,#FCC168
CS3,body,deleted,0.005031868500503187,15,#EA0D30
CS3,deleted,refactored,0.008050989600805098,24,#EA0D30
CS3,deleted,argument,0.013082858101308286,39,#EA0D30
CS3,deleted,body,0.1398859443139886,417,#EA0D30
CS3,deleted,deleted,0.0,0,#48D373
CS4,identical,refactored,0.0293832741362609,91,#48D373
CS4,identical,argument,0.03939296092993219,122,#48D373
CS4,identical,body,0.5902486277042299,1828,#48D373
CS4,identical,deleted,0.12495963835970293,387,#EA0D30
CS4,refactored,refactored,0.0019373587342589602,6,#FCC168
CS4,refactored,argument,0.0019373587342589602,6,#FCC168
CS4,refactored,body,0.011624152405553761,36,#FCC168
CS4,refactored,deleted,0.0009686793671294801,3,#EA0D30
CS4,argument,refactored,0.004843396835647401,15,#FCC168
CS4,argument,argument,0.004520503713270907,14,#EA0D30
CS4,argument,body,0.008395221181788828,26,#FCC168
CS4,argument,deleted,0.0016144656118824668,5,#EA0D30
CS4,body,refactored,0.005812076202776881,18,#FCC168
CS4,body,argument,0.010009686793671296,31,#FCC168
CS4,body,body,0.12980303519535033,402,#FCC168
CS4,body,deleted,0.006134969325153374,19,#EA0D30
