name,color,proportion,count,label_y
CS2,Possible,0.4428822495606327,504,0.22144112478031636
CS2,Not Possible,0.413884007029877,471,0.6498242530755712
CS2,Might Be Possible,0.14323374340949033,163,0.9283831282952548
CS5,Possible,0.4927487352445194,1461,0.2463743676222597
CS5,Not Possible,0.31197301854974707,925,0.6487352445193929
CS5,Might Be Possible,0.19527824620573356,579,0.9023608768971333
CS6,Possible,0.30710773357174787,1374,0.15355386678587393
CS6,Not Possible,0.5223513634331695,2337,0.5682834152883326
CS6,Might Be Possible,0.1705409029950827,763,0.9147295485024586
CS8,Possible,0.6039967373572593,1481,0.30199836867862967
CS8,Not Possible,0.20758564437194127,509,0.70778955954323
CS8,Might Be Possible,0.18841761827079934,462,0.9057911908646004
CS4,Possible,0.6629094751673125,1882,0.33145473758365623
CS4,Not Possible,0.21345544205706235,606,0.7696371961958437
CS4,Might Be Possible,0.12363508277562522,351,0.9381824586121874
CS7,Possible,0.8501128668171558,1883,0.4250564334085779
CS7,Not Possible,0.05914221218961625,131,0.883
CS7,Might Be Possible,0.09074492099322799,201,0.9546275395033861
CS1,Possible,0.6449399656946827,376,0.32246998284734135
CS1,Not Possible,0.19210977701543738,112,0.7409948542024014
CS1,Might Be Possible,0.16295025728987994,95,0.91852487135506
CS3,Possible,0.4577995478522984,1215,0.2288997739261492
CS3,Not Possible,0.29917106254709874,794,0.6073850791258478
CS3,Might Be Possible,0.24302938960060286,645,0.8784853051996986
