versions,an_type,mo_type,proportion,count,color
CS4,identical,refactored_move,0.0,0,#48D373
CS4,identical,refactored_rename,0.030303030303030304,6,#48D373
CS4,identical,refactored_inline,0.015151515151515152,3,#48D373
CS4,identical,refactored_extract,0.0,0,#48D373
CS4,identical,argument_rename,0.0,0,#48D373
CS4,identical,argument_reorder,0.0,0,#48D373
CS4,identical,argument_add,0.005050505050505051,1,#48D373
CS4,identical,argument_remove,0.010101010101010102,2,#48D373
CS4,identical,argument_type_change,0.005050505050505051,1,#48D373
CS4,identical,body,0.30808080808080807,61,#48D373
CS4,identical,deleted,0.08585858585858586,17,#EA0D30
CS4,refactored_move,refactored_move,0.0,0,#FCC168
CS4,refactored_move,refactored_rename,0.0,0,#48D373
CS4,refactored_move,refactored_inline,0.0,0,#EA0D30
CS4,refactored_move,refactored_extract,0.0,0,#EA0D30
CS4,refactored_move,argument_rename,0.0,0,#48D373
CS4,refactored_move,argument_reorder,0.0,0,#48D373
CS4,refactored_move,argument_add,0.0,0,#48D373
CS4,refactored_move,argument_remove,0.0,0,#48D373
CS4,refactored_move,argument_type_change,0.0,0,#48D373
CS4,refactored_move,body,0.0,0,#48D373
CS4,refactored_move,deleted,0.0,0,#EA0D30
CS4,refactored_rename,refactored_move,0.0,0,#48D373
CS4,refactored_rename,refactored_rename,0.010101010101010102,2,#FCC168
CS4,refactored_rename,refactored_inline,0.0,0,#EA0D30
CS4,refactored_rename,refactored_extract,0.0,0,#48D373
CS4,refactored_rename,argument_rename,0.0,0,#48D373
CS4,refactored_rename,argument_reorder,0.0,0,#48D373
CS4,refactored_rename,argument_add,0.0,0,#48D373
CS4,refactored_rename,argument_remove,0.0,0,#48D373
CS4,refactored_rename,argument_type_change,0.0,0,#48D373
CS4,refactored_rename,body,0.010101010101010102,2,#48D373
CS4,refactored_rename,deleted,0.0,0,#EA0D30
CS4,refactored_inline,refactored_move,0.0,0,#EA0D30
CS4,refactored_inline,refactored_rename,0.0,0,#EA0D30
CS4,refactored_inline,refactored_inline,0.0,0,#FCC168
CS4,refactored_inline,refactored_extract,0.0,0,#EA0D30
CS4,refactored_inline,argument_rename,0.0,0,#EA0D30
CS4,refactored_inline,argument_reorder,0.0,0,#EA0D30
CS4,refactored_inline,argument_add,0.0,0,#EA0D30
CS4,refactored_inline,argument_remove,0.0,0,#EA0D30
CS4,refactored_inline,argument_type_change,0.0,0,#EA0D30
CS4,refactored_inline,body,0.005050505050505051,1,#48D373
CS4,refactored_inline,deleted,0.0,0,#EA0D30
CS4,refactored_extract,refactored_move,0.0,0,#EA0D30
