versions:android-7.0.0_r1,android-7.1.0_r1,cm-14.0
build,https://android.googlesource.com/platform/build,https://review.lineageos.org/LineageOS/android_build
build_kati,https://android.googlesource.com/platform/build/kati,https://review.lineageos.org/LineageOS/android_build_kati
art,https://android.googlesource.com/platform/art,https://review.lineageos.org/LineageOS/android_art
bionic,https://android.googlesource.com/platform/bionic,https://review.lineageos.org/LineageOS/android_bionic
bootable_recovery,https://android.googlesource.com/platform/bootable/recovery,https://review.lineageos.org/LineageOS/android_bootable_recovery
dalvik,https://android.googlesource.com/platform/dalvik,https://review.lineageos.org/LineageOS/android_dalvik
development,https://android.googlesource.com/platform/development,https://review.lineageos.org/LineageOS/android_development
external_aac,https://android.googlesource.com/platform/external/aac,https://review.lineageos.org/LineageOS/android_external_aac
external_android-clat,https://android.googlesource.com/platform/external/android-clat,https://review.lineageos.org/LineageOS/android_external_android-clat
external_boringssl,https://android.googlesource.com/platform/external/boringssl,https://review.lineageos.org/LineageOS/android_external_boringssl
external_bzip2,https://android.googlesource.com/platform/external/bzip2,https://review.lineageos.org/LineageOS/android_external_bzip2
external_e2fsprogs,https://android.googlesource.com/platform/external/e2fsprogs,https://review.lineageos.org/LineageOS/android_external_e2fsprogs
external_elfutils,https://android.googlesource.com/platform/external/elfutils,https://review.lineageos.org/LineageOS/android_external_elfutils
external_f2fs-tools,https://android.googlesource.com/platform/external/f2fs-tools,https://review.lineageos.org/LineageOS/android_external_f2fs-tools
external_flac,https://android.googlesource.com/platform/external/flac,https://review.lineageos.org/LineageOS/android_external_flac
external_fsck_msdos,https://android.googlesource.com/platform/external/fsck_msdos,https://review.lineageos.org/LineageOS/android_external_fsck_msdos
external_gptfdisk,https://android.googlesource.com/platform/external/gptfdisk,https://review.lineageos.org/LineageOS/android_external_gptfdisk
external_icu,https://android.googlesource.com/platform/external/icu,https://review.lineageos.org/LineageOS/android_external_icu
external_iproute2,https://android.googlesource.com/platform/external/iproute2,https://review.lineageos.org/LineageOS/android_external_iproute2
external_ipsec-tools,https://android.googlesource.com/platform/external/ipsec-tools,https://review.lineageos.org/LineageOS/android_external_ipsec-tools
external_iptables,https://android.googlesource.com/platform/external/iptables,https://review.lineageos.org/LineageOS/android_external_iptables
external_libhevc,https://android.googlesource.com/platform/external/libhevc,https://review.lineageos.org/LineageOS/android_external_libhevc
external_libnfc-nci,https://android.googlesource.com/platform/external/libnfc-nci,https://review.lineageos.org/LineageOS/android_external_libnfc-nci
external_libnfc-nxp,https://android.googlesource.com/platform/external/libnfc-nxp,https://review.lineageos.org/LineageOS/android_external_libnfc-nxp
external_libselinux,https://android.googlesource.com/platform/external/libselinux,https://review.lineageos.org/LineageOS/android_external_libselinux
external_libvterm,https://android.googlesource.com/platform/external/libvterm,https://review.lineageos.org/LineageOS/android_external_libvterm
external_libxml2,https://android.googlesource.com/platform/external/libxml2,https://review.lineageos.org/LineageOS/android_external_libxml2
external_lz4,https://android.googlesource.com/platform/external/lz4,https://review.lineageos.org/LineageOS/android_external_lz4
external_lzma,https://android.googlesource.com/platform/external/lzma,https://review.lineageos.org/LineageOS/android_external_lzma
external_mksh,https://android.googlesource.com/platform/external/mksh,https://review.lineageos.org/LineageOS/android_external_mksh
external_okhttp,https://android.googlesource.com/platform/external/okhttp,https://review.lineageos.org/LineageOS/android_external_okhttp
external_skia,https://android.googlesource.com/platform/external/skia,https://review.lineageos.org/LineageOS/android_external_skia
external_tinyalsa,https://android.googlesource.com/platform/external/tinyalsa,https://review.lineageos.org/LineageOS/android_external_tinyalsa
external_tinycompress,https://android.googlesource.com/platform/external/tinycompress,https://review.lineageos.org/LineageOS/android_external_tinycompress
external_tinyxml2,https://android.googlesource.com/platform/external/tinyxml2,https://review.lineageos.org/LineageOS/android_external_tinyxml2
external_toybox,https://android.googlesource.com/platform/external/toybox,https://review.lineageos.org/LineageOS/android_external_toybox
external_wpa_supplicant_8,https://android.googlesource.com/platform/external/wpa_supplicant_8,https://review.lineageos.org/LineageOS/android_external_wpa_supplicant_8
external_zlib,https://android.googlesource.com/platform/external/zlib,https://review.lineageos.org/LineageOS/android_external_zlib
frameworks_av,https://android.googlesource.com/platform/frameworks/av,https://review.lineageos.org/LineageOS/android_frameworks_av
frameworks_native,https://android.googlesource.com/platform/frameworks/native,https://review.lineageos.org/LineageOS/android_frameworks_native
frameworks_opt_chips,https://android.googlesource.com/platform/frameworks/opt/chips,https://review.lineageos.org/LineageOS/android_frameworks_opt_chips
frameworks_opt_datetimepicker,https://android.googlesource.com/platform/frameworks/opt/datetimepicker,https://review.lineageos.org/LineageOS/android_frameworks_opt_datetimepicker
frameworks_opt_net_ims,https://android.googlesource.com/platform/frameworks/opt/net/ims,https://review.lineageos.org/LineageOS/android_frameworks_opt_net_ims
frameworks_opt_net_wifi,https://android.googlesource.com/platform/frameworks/opt/net/wifi,https://review.lineageos.org/LineageOS/android_frameworks_opt_net_wifi
